Wins: 861, Loses: 132, Loses on first: 0, Undecided: 7
0.246 0.089 0.045 0.011 0.374 0.105 0.182 0.579 0.645 0.563
0.265 0.125 0.345 0.061 0.199 0.553 0.480 0.546 0.280 0.252
0.263 0.222 0.378 0.449 0.558 0.230 0.559 0.491 0.308 0.629
0.746 0.369 0.387 0.302 0.460 0.248 0.556 0.447 0.292 0.480

True risk factors:
0.000 0.043 0.129 0.226 0.441 1.000 1.000 1.000 1.000 1.000
0.258 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 0.776 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 0.454 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.110 0.110 0.196 1.000 1.000 1.000 1.000 1.000 0.376 1.000
1.000 1.000 0.032 0.290 1.000 1.000 1.000 1.000 0.183 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.118 1.000
Torch risk factors:
0.287 0.504 0.385 0.412 0.353 0.130 0.398 0.267 0.589 0.290
0.346 0.400 0.384 0.200 0.437 0.279 0.254 0.298 0.468 0.539
0.300 0.129 0.462 0.186 0.273 0.326 0.293 0.361 0.341 0.387
0.351 0.235 0.198 0.381 0.276 0.117 0.192 0.242 0.339 0.470
0.476 0.254 0.403 0.429 0.269 0.411 0.187 0.203 0.217 0.503
0.333 0.365 0.099 0.109 0.267 0.145 0.223 0.419 0.359 0.257
0.326 0.370 0.244 0.113 0.345 0.166 0.253 0.389 0.501 0.461
0.408 0.225 0.416 0.143 0.202 0.273 0.249 0.410 0.391 0.390
0.336 0.205 0.287 0.400 0.443 0.305 0.577 0.406 0.412 0.544
0.537 0.273 0.371 0.334 0.471 0.415 0.383 0.491 0.321 0.507

True risk factors:
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.216 0.346 0.477 0.314 0.314 0.261 0.131 0.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.131 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.327 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.248 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.902 0.118 1.000
Torch risk factors:
0.182 0.242 0.204 0.540 0.449 0.004 0.002 0.218 0.273 0.804
0.553 0.015 0.299 0.001 0.045 0.001 0.003 0.002 0.519 0.529
0.038 0.006 0.042 0.244 0.002 0.074 0.007 0.110 0.031 0.066
0.059 0.009 0.035 0.002 0.001 0.005 0.000 0.017 0.041 0.762
0.142 0.053 0.343 0.004 0.006 0.167 0.048 0.006 0.078 0.561
0.253 0.095 0.000 0.009 0.006 0.034 0.008 0.425 0.210 0.228
0.129 0.101 0.023 0.005 0.459 0.058 0.022 0.447 0.831 0.722
0.102 0.450 0.402 0.010 0.073 0.674 0.424 0.444 0.493 0.508
0.115 0.304 0.520 0.159 0.404 0.170 0.358 0.434 0.207 0.856
0.885 0.199 0.796 0.181 0.091 0.220 0.966 0.624 0.377 0.395

True risk factors:
0.142 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.142
0.291 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.216
0.291 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.149
0.664 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.075
1.000 1.000 1.000 1.000 1.000 0.515 0.366 0.261 0.075 0.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.403 0.067 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.142 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.187 1.000
1.000 0.627 1.000 1.000 1.000 1.000 1.000 1.000 0.075 1.000
1.000 1.000 1.000 1.000 1.000 0.664 0.261 0.149 0.000 1.000
Torch risk factors:
0.098 0.092 0.095 0.225 0.103 0.024 0.096 0.090 0.388 0.215
0.109 0.173 0.209 0.017 0.077 0.103 0.066 0.101 0.086 0.270
0.128 0.023 0.097 0.027 0.091 0.023 0.099 0.094 0.050 0.165
0.111 0.103 0.040 0.059 0.023 0.019 0.030 0.043 0.117 0.326
0.333 0.087 0.071 0.065 0.095 0.064 0.041 0.038 0.040 0.077
0.221 0.099 0.021 0.038 0.035 0.012 0.148 0.202 0.045 0.028
0.123 0.190 0.108 0.029 0.123 0.071 0.111 0.036 0.173 0.142
0.106 0.112 0.121 0.022 0.026 0.063 0.227 0.128 0.188 0.089
0.228 0.132 0.181 0.375 0.173 0.110 0.420 0.220 0.159 0.286
0.159 0.074 0.172 0.024 0.378 0.432 0.098 0.352 0.097 0.418

True risk factors:
1.000 1.000 1.000 0.081 0.107 0.043 0.000 0.051 0.115 0.115
1.000 1.000 0.487 1.000 1.000 1.000 0.043 0.137 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.107 0.201 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.466 0.509 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.359 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
Torch risk factors:
0.179 0.287 0.224 0.183 0.198 0.005 0.013 0.161 0.585 0.645
0.407 0.002 0.392 0.000 0.051 0.000 0.003 0.007 0.612 0.583
0.020 0.001 0.009 0.012 0.000 0.066 0.002 0.121 0.072 0.049
0.048 0.002 0.006 0.001 0.000 0.001 0.000 0.020 0.021 0.716
0.084 0.009 0.308 0.003 0.001 0.127 0.013 0.005 0.076 0.587
0.125 0.022 0.000 0.007 0.004 0.019 0.002 0.629 0.357 0.166
0.106 0.015 0.005 0.000 0.362 0.039 0.082 0.620 0.740 0.797
0.099 0.080 0.112 0.003 0.068 0.691 0.590 0.574 0.273 0.316
0.141 0.270 0.477 0.379 0.310 0.128 0.400 0.281 0.224 0.858
0.711 0.236 0.633 0.099 0.211 0.297 0.909 0.467 0.172 0.350

True risk factors:
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 0.038 0.423 1.000 1.000 1.000 1.000 1.000
1.000 0.000 0.043 0.107 0.466 1.000 1.000 1.000 1.000 1.000
1.000 0.043 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.075 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.049 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 0.006 0.220 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 0.060 0.316 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.615 1.000 1.000
Torch risk factors:
0.570 0.458 0.472 0.472 0.602 0.014 0.011 0.384 0.541 0.861
0.700 0.038 0.466 0.003 0.166 0.003 0.013 0.009 0.655 0.548
0.176 0.045 0.075 0.312 0.004 0.320 0.020 0.281 0.203 0.116
0.103 0.025 0.121 0.006 0.002 0.026 0.001 0.038 0.108 0.704
0.237 0.126 0.767 0.011 0.019 0.245 0.074 0.056 0.345 0.704
0.326 0.194 0.001 0.050 0.063 0.326 0.023 0.714 0.544 0.382
0.392 0.110 0.054 0.017 0.537 0.096 0.093 0.821 0.877 0.831
0.211 0.266 0.392 0.042 0.296 0.842 0.631 0.644 0.622 0.660
0.098 0.448 0.770 0.306 0.499 0.250 0.453 0.546 0.488 0.706
0.864 0.415 0.786 0.598 0.190 0.174 0.971 0.650 0.494 0.450

True risk factors:
1.000 1.000 1.000 1.000 0.412 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 0.922 0.373 0.490 0.804 1.000 1.000
0.804 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.451 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.216 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.294 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.471 1.000
1.000 1.000 1.000 1.000 1.000 0.608 0.196 0.078 0.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 0.529 0.059 1.000 1.000 1.000 1.000
Torch risk factors:
0.155 0.203 0.152 0.254 0.327 0.015 0.122 0.078 0.735 0.217
0.193 0.309 0.255 0.025 0.140 0.041 0.041 0.023 0.198 0.239
0.044 0.017 0.259 0.065 0.035 0.078 0.038 0.072 0.144 0.226
0.064 0.014 0.025 0.149 0.017 0.003 0.007 0.051 0.062 0.435
0.200 0.007 0.095 0.227 0.153 0.183 0.107 0.046 0.070 0.131
0.112 0.231 0.002 0.007 0.030 0.013 0.180 0.246 0.190 0.056
0.128 0.237 0.031 0.007 0.115 0.034 0.025 0.130 0.281 0.264
0.105 0.054 0.333 0.016 0.045 0.153 0.139 0.132 0.119 0.084
0.178 0.172 0.195 0.329 0.410 0.090 0.463 0.446 0.175 0.322
0.518 0.079 0.227 0.038 0.278 0.219 0.117 0.234 0.219 0.599

True risk factors:
1.000 1.000 1.000 1.000 1.000 1.000 0.101 1.000 1.000 1.000
0.000 0.088 0.132 0.123 0.101 0.057 0.298 1.000 1.000 1.000
0.044 1.000 1.000 1.000 1.000 1.000 0.627 1.000 1.000 1.000
0.110 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.057 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.013 0.408 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.013 0.408 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.057 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.123 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.057 1.000 1.000 1.000 1.000 1.000 1.000 0.605 1.000 1.000
Torch risk factors:
0.447 0.550 0.375 0.330 0.473 0.021 0.020 0.317 0.571 0.800
0.612 0.017 0.483 0.001 0.143 0.002 0.014 0.015 0.601 0.581
0.074 0.018 0.068 0.245 0.004 0.277 0.014 0.275 0.148 0.107
0.114 0.011 0.059 0.005 0.003 0.025 0.001 0.062 0.092 0.721
0.202 0.062 0.626 0.016 0.014 0.367 0.086 0.033 0.378 0.680
0.267 0.246 0.001 0.056 0.042 0.259 0.019 0.667 0.527 0.457
0.318 0.075 0.048 0.009 0.578 0.163 0.169 0.783 0.822 0.808
0.178 0.281 0.330 0.057 0.369 0.860 0.668 0.626 0.513 0.552
0.250 0.419 0.743 0.349 0.557 0.165 0.522 0.471 0.369 0.816
0.858 0.429 0.742 0.384 0.195 0.265 0.937 0.500 0.482 0.380

True risk factors:
0.155 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.155 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
0.000 0.103 0.258 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 0.433 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 0.124 0.330 0.639 0.979 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.155 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.103 0.258 0.196
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
Torch risk factors:
0.252 0.198 0.486 0.648 0.496 0.024 0.090 0.210 0.639 0.595
0.730 0.252 0.328 0.039 0.314 0.024 0.037 0.009 0.646 0.467
0.129 0.057 0.196 0.252 0.070 0.130 0.065 0.151 0.211 0.171
0.145 0.025 0.060 0.062 0.007 0.005 0.002 0.026 0.088 0.604
0.269 0.072 0.538 0.071 0.059 0.140 0.130 0.091 0.052 0.362
0.178 0.140 0.004 0.007 0.033 0.021 0.053 0.490 0.261 0.133
0.326 0.317 0.039 0.017 0.251 0.065 0.013 0.312 0.726 0.487
0.215 0.132 0.621 0.008 0.048 0.267 0.182 0.584 0.566 0.268
0.120 0.190 0.445 0.197 0.412 0.336 0.464 0.436 0.346 0.479
0.721 0.106 0.727 0.305 0.278 0.261 0.773 0.601 0.325 0.678

True risk factors:
1.000 1.000 0.147 0.000 0.078 0.194 0.147 0.070 1.000 1.000
1.000 1.000 0.225 0.116 1.000 1.000 1.000 0.419 0.070 1.000
1.000 1.000 0.380 0.504 1.000 1.000 1.000 1.000 0.147 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.225 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.264 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.264 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.264 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.167 1.000
0.651 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.089 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.477 0.012 1.000
Torch risk factors:
0.090 0.117 0.080 0.184 0.085 0.047 0.169 0.095 0.271 0.271
0.093 0.108 0.286 0.017 0.084 0.095 0.049 0.119 0.162 0.297
0.088 0.023 0.092 0.042 0.081 0.064 0.067 0.116 0.073 0.177
0.114 0.157 0.059 0.054 0.041 0.059 0.035 0.110 0.148 0.403
0.228 0.111 0.100 0.099 0.110 0.105 0.096 0.054 0.074 0.126
0.298 0.135 0.011 0.079 0.025 0.051 0.104 0.216 0.119 0.074
0.185 0.217 0.172 0.052 0.238 0.135 0.193 0.086 0.361 0.239
0.155 0.205 0.204 0.060 0.066 0.190 0.376 0.182 0.281 0.148
0.398 0.212 0.197 0.440 0.336 0.166 0.384 0.297 0.224 0.417
0.382 0.116 0.349 0.040 0.359 0.404 0.197 0.373 0.136 0.328

True risk factors:
1.000 1.000 0.202 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 0.681 1.000 1.000 1.000 1.000 1.000 1.000 0.362
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.691 0.452 0.133
1.000 1.000 1.000 1.000 0.840 1.000 1.000 1.000 1.000 0.000
1.000 1.000 1.000 0.681 0.840 1.000 1.000 1.000 1.000 0.053
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.069
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.016
Torch risk factors:
0.317 0.394 0.396 0.531 0.478 0.132 0.221 0.364 0.545 0.507
0.491 0.336 0.425 0.151 0.305 0.189 0.205 0.161 0.411 0.478
0.329 0.193 0.343 0.316 0.205 0.268 0.253 0.329 0.212 0.352
0.294 0.258 0.230 0.165 0.137 0.113 0.088 0.199 0.237 0.619
0.449 0.344 0.413 0.274 0.254 0.361 0.236 0.187 0.216 0.430
0.378 0.333 0.092 0.126 0.152 0.161 0.196 0.464 0.373 0.305
0.404 0.451 0.304 0.158 0.353 0.274 0.237 0.335 0.589 0.531
0.360 0.400 0.465 0.169 0.242 0.370 0.352 0.427 0.468 0.435
0.397 0.341 0.421 0.346 0.455 0.410 0.540 0.450 0.425 0.610
0.571 0.366 0.618 0.360 0.437 0.450 0.644 0.612 0.418 0.558

True risk factors:
1.000 0.019 0.062 0.114 0.062 0.019 1.000 1.000 1.000 1.000
1.000 0.105 1.000 1.000 1.000 0.084 0.000 0.043 0.108 0.075
1.000 0.170 1.000 1.000 1.000 0.471 0.387 1.000 1.000 1.000
1.000 0.376 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.290 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.355 1.000 0.032 1.000
Torch risk factors:
0.211 0.247 0.170 0.278 0.260 0.028 0.038 0.206 0.388 0.611
0.287 0.045 0.352 0.004 0.072 0.007 0.019 0.026 0.358 0.489
0.043 0.011 0.065 0.118 0.012 0.077 0.016 0.157 0.086 0.195
0.127 0.030 0.038 0.015 0.010 0.020 0.005 0.075 0.101 0.635
0.201 0.044 0.189 0.038 0.030 0.239 0.125 0.022 0.141 0.303
0.323 0.111 0.001 0.036 0.013 0.075 0.037 0.359 0.331 0.201
0.146 0.183 0.054 0.014 0.392 0.184 0.127 0.360 0.647 0.621
0.124 0.401 0.299 0.043 0.144 0.607 0.489 0.460 0.458 0.275
0.328 0.329 0.392 0.294 0.414 0.168 0.354 0.417 0.234 0.746
0.778 0.271 0.697 0.101 0.217 0.335 0.787 0.393 0.344 0.494

True risk factors:
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 0.010 0.075 0.140 0.156 0.130 0.065 0.000
0.123 0.253 0.253 0.432 1.000 1.000 1.000 1.000 1.000 0.065
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.130
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.130
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.065
0.286 0.545 0.545 1.000 1.000 1.000 1.000 0.519 0.097 0.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.286 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.188 1.000 1.000
Torch risk factors:
0.247 0.342 0.230 0.429 0.301 0.016 0.012 0.248 0.282 0.699
0.356 0.036 0.322 0.004 0.094 0.005 0.015 0.024 0.395 0.510
0.094 0.017 0.070 0.208 0.010 0.083 0.025 0.235 0.074 0.161
0.158 0.041 0.069 0.009 0.008 0.030 0.003 0.051 0.130 0.660
0.264 0.125 0.332 0.016 0.016 0.226 0.050 0.021 0.179 0.471
0.371 0.153 0.002 0.052 0.031 0.089 0.028 0.437 0.253 0.264
0.177 0.131 0.074 0.022 0.410 0.133 0.140 0.430 0.692 0.668
0.172 0.473 0.263 0.042 0.144 0.634 0.485 0.469 0.553 0.487
0.193 0.267 0.499 0.262 0.333 0.203 0.395 0.401 0.294 0.795
0.723 0.275 0.700 0.184 0.189 0.322 0.897 0.584 0.350 0.400

True risk factors:
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.233 0.581 0.302
1.000 1.000 1.000 1.000 1.000 1.000 0.465 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.930 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.535 1.000 1.000 1.000
Torch risk factors:
0.155 0.110 0.183 0.641 0.615 0.001 0.001 0.249 0.302 0.856
0.765 0.012 0.243 0.000 0.032 0.000 0.001 0.001 0.660 0.451
0.049 0.007 0.017 0.181 0.001 0.070 0.004 0.102 0.024 0.025
0.027 0.008 0.029 0.001 0.000 0.001 0.000 0.004 0.017 0.842
0.133 0.067 0.418 0.001 0.002 0.069 0.018 0.004 0.018 0.639
0.193 0.036 0.000 0.002 0.003 0.010 0.002 0.325 0.156 0.150
0.145 0.058 0.008 0.001 0.433 0.020 0.005 0.433 0.905 0.700
0.075 0.314 0.460 0.002 0.016 0.514 0.402 0.424 0.441 0.555
0.033 0.261 0.494 0.090 0.289 0.224 0.344 0.465 0.160 0.825
0.883 0.169 0.833 0.349 0.070 0.147 0.988 0.830 0.281 0.361

True risk factors:
0.077 0.149 0.060 0.000 1.000 1.000 1.000 1.000 1.000 1.000
